nom_client,id_neobrain_client,id_neobrain_competence,code_competence,nom_competence,referentiel_competence,type_referentiel_competence,type_referentiel_competence_detaille,groupe_competence,type_groupe_competence,date_mise_a_jour,maitrise_moyenne,motivation_moyenne,maitrise_moyenne_note_manager,nb_collaborateurs_actifs,nb_collaborateur_a_reskiller,nb_metier_possedant_ce_metier,categorie_detention,gamme_detention,description_niveau_1,description_niveau_2,description_niveau_3,description_niveau_4
OPT - NC,620,21967577,COMP406,"Connaissance de l'écosystème interne OPT-NC, et externe liés aux métiers",OPT-NC 2025,Customer,OPT - NC,Savoir,,2025-09-03 13:38:26,4.0,3.5,,3.0,0.0,1.0,Poorly held,b. 1-25,"Compétence élémentaire, peu ou pas d'expérience","maîtrise des fondamentaux, mobilisation partielle de la compétence","Maîtrise solide et expérimentée, mobilisation opérationnelle de la compétence en situation normale","Expertise sur toutes les composantes de la compétence, mobilisation de la compétence en situation complexe"
OPT - NC,620,21967361,COMP190,Règles de constructions dans le domaine du bâtiment,OPT-NC 2025,Customer,OPT - NC,Savoir,,2025-09-03 13:38:08,3.38,3.5,,10.0,0.0,1.0,Poorly held,b. 1-25,"Compétence élémentaire, peu ou pas d'expérience","maîtrise des fondamentaux, mobilisation partielle de la compétence","Maîtrise solide et expérimentée, mobilisation opérationnelle de la compétence en situation normale","Expertise sur toutes les composantes de la compétence, mobilisation de la compétence en situation complexe"
OPT - NC,620,21967178,COMP7,"Conception et développement dans les environnements / langages / BDD suivants** : o Angular, Springboot, Ionic, Bootstrap, Jhipster, ELK, o Linux / Windows o JAVA, typescript/javascript, HTML, XML, CSS, Powershell o PostgreSQL, Oracle",OPT-NC 2025,Customer,OPT - NC,Savoir,,2025-09-03 13:38:01,2.0,2.0,,14.0,2.0,1.0,Poorly held,b. 1-25,"Compétence élémentaire, peu ou pas d'expérience","maîtrise des fondamentaux, mobilisation partielle de la compétence","Maîtrise solide et expérimentée, mobilisation opérationnelle de la compétence en situation normale","Expertise sur toutes les composantes de la compétence, mobilisation de la compétence en situation complexe"
OPT - NC,620,21967244,COMP73,Gestion de l'information,OPT-NC 2025,Customer,OPT - NC,Savoir,,2026-04-01 23:43:20,3.02,3.18,,87.0,7.0,3.0,Moderately held,c. 26-100,"Compétence élémentaire, peu ou pas d'expérience","maîtrise des fondamentaux, mobilisation partielle de la compétence","Maîtrise solide et expérimentée, mobilisation opérationnelle de la compétence en situation normale","Expertise sur toutes les composantes de la compétence, mobilisation de la compétence en situation complexe"
OPT - NC,620,21967627,COMP456,"Analyser un contexte, une problématique, une complexité",OPT-NC 2025,Customer,OPT - NC,savoir faire,,2025-09-03 13:38:31,3.24,3.51,,182.0,19.0,20.0,Well held,d. 101+,"Compétence élémentaire, peu ou pas d'expérience","maîtrise des fondamentaux, mobilisation partielle de la compétence","Maîtrise solide et expérimentée, mobilisation opérationnelle de la compétence en situation normale","Expertise sur toutes les composantes de la compétence, mobilisation de la compétence en situation complexe"
OPT - NC,620,22020765,COMP612,Connaissance de l'organisation et du plan stratégique de l'Office,OPT-NC 2025,Customer,OPT - NC,Savoir,,2026-02-26 00:57:18,3.18,3.09,,95.0,5.0,8.0,Moderately held,c. 26-100,"Compétence élémentaire, peu ou pas d'expérience","maîtrise des fondamentaux, mobilisation partielle de la compétence","Maîtrise solide et expérimentée, mobilisation opérationnelle de la compétence en situation normale","Expertise sur toutes les composantes de la compétence, mobilisation de la compétence en situation complexe"
OPT - NC,620,21967342,COMP171,Connaissance de la réglementation du domaine,OPT-NC 2025,Customer,OPT - NC,Savoir,,2025-09-03 13:38:07,3.11,3.06,,26.0,14.0,1.0,Moderately held,c. 26-100,"Compétence élémentaire, peu ou pas d'expérience","maîtrise des fondamentaux, mobilisation partielle de la compétence","Maîtrise solide et expérimentée, mobilisation opérationnelle de la compétence en situation normale","Expertise sur toutes les composantes de la compétence, mobilisation de la compétence en situation complexe"
OPT - NC,620,21967538,COMP367,"Procédures administratives et règles internes de commande de l'OPT-NC,",OPT-NC 2025,Customer,OPT - NC,Savoir,,2025-09-03 13:38:22,3.2,3.0,,10.0,0.0,1.0,Poorly held,b. 1-25,"Compétence élémentaire, peu ou pas d'expérience","maîtrise des fondamentaux, mobilisation partielle de la compétence","Maîtrise solide et expérimentée, mobilisation opérationnelle de la compétence en situation normale","Expertise sur toutes les composantes de la compétence, mobilisation de la compétence en situation complexe"
OPT - NC,620,21967592,COMP421,Configurations usuelles matérielles et systèmes des postes clients.,OPT-NC 2025,Customer,OPT - NC,Savoir,,2025-09-03 13:38:27,3.5,4.0,,6.0,1.0,1.0,Poorly held,b. 1-25,"Compétence élémentaire, peu ou pas d'expérience","maîtrise des fondamentaux, mobilisation partielle de la compétence","Maîtrise solide et expérimentée, mobilisation opérationnelle de la compétence en situation normale","Expertise sur toutes les composantes de la compétence, mobilisation de la compétence en situation complexe"
OPT - NC,620,21967248,COMP77,Droit/Réglementation,OPT-NC 2025,Customer,OPT - NC,Savoir,,2025-09-03 13:38:02,2.64,2.91,,57.0,7.0,4.0,Moderately held,c. 26-100,"Compétence élémentaire, peu ou pas d'expérience","maîtrise des fondamentaux, mobilisation partielle de la compétence","Maîtrise solide et expérimentée, mobilisation opérationnelle de la compétence en situation normale","Expertise sur toutes les composantes de la compétence, mobilisation de la compétence en situation complexe"
OPT - NC,620,21967637,COMP466,Archiver,OPT-NC 2025,Customer,OPT - NC,savoir faire,,2025-09-03 13:38:32,3.08,3.0,,44.0,3.0,2.0,Moderately held,c. 26-100,"Compétence élémentaire, peu ou pas d'expérience","maîtrise des fondamentaux, mobilisation partielle de la compétence","Maîtrise solide et expérimentée, mobilisation opérationnelle de la compétence en situation normale","Expertise sur toutes les composantes de la compétence, mobilisation de la compétence en situation complexe"
OPT - NC,620,21967640,COMP469,Assurer une maintenance,OPT-NC 2025,Customer,OPT - NC,savoir faire,,2025-09-03 13:38:32,3.24,3.54,,69.0,6.0,3.0,Moderately held,c. 26-100,"Compétence élémentaire, peu ou pas d'expérience","maîtrise des fondamentaux, mobilisation partielle de la compétence","Maîtrise solide et expérimentée, mobilisation opérationnelle de la compétence en situation normale","Expertise sur toutes les composantes de la compétence, mobilisation de la compétence en situation complexe"
OPT - NC,620,21967762,COMP591,Faire preuve de discrétion,OPT-NC 2025,Customer,OPT - NC,Savoir être,,2025-09-03 13:38:48,3.56,3.56,,604.0,76.0,39.0,Well held,d. 101+,"Compétence élémentaire, peu ou pas d'expérience","maîtrise des fondamentaux, mobilisation partielle de la compétence","Maîtrise solide et expérimentée, mobilisation opérationnelle de la compétence en situation normale","Expertise sur toutes les composantes de la compétence, mobilisation de la compétence en situation complexe"
OPT - NC,620,21967655,COMP484,"Conseiller une personne, un groupe",OPT-NC 2025,Customer,OPT - NC,savoir faire,,2025-09-03 13:38:34,3.12,3.45,,106.0,14.0,12.0,Well held,d. 101+,"Compétence élémentaire, peu ou pas d'expérience","maîtrise des fondamentaux, mobilisation partielle de la compétence","Maîtrise solide et expérimentée, mobilisation opérationnelle de la compétence en situation normale","Expertise sur toutes les composantes de la compétence, mobilisation de la compétence en situation complexe"
OPT - NC,620,21967463,COMP292,"Hydraulique, système de sécurité incendie et automatisme",OPT-NC 2025,Customer,OPT - NC,Savoir,,2025-09-03 13:38:15,2.14,2.14,,8.0,5.0,1.0,Poorly held,b. 1-25,"Compétence élémentaire, peu ou pas d'expérience","maîtrise des fondamentaux, mobilisation partielle de la compétence","Maîtrise solide et expérimentée, mobilisation opérationnelle de la compétence en situation normale","Expertise sur toutes les composantes de la compétence, mobilisation de la compétence en situation complexe"
OPT - NC,620,21967645,COMP474,Communiquer,OPT-NC 2025,Customer,OPT - NC,savoir faire,,2025-09-03 13:38:33,3.17,3.23,,393.0,24.0,32.0,Well held,d. 101+,"Compétence élémentaire, peu ou pas d'expérience","maîtrise des fondamentaux, mobilisation partielle de la compétence","Maîtrise solide et expérimentée, mobilisation opérationnelle de la compétence en situation normale","Expertise sur toutes les composantes de la compétence, mobilisation de la compétence en situation complexe"
OPT - NC,620,21967500,COMP329,Méthodes de colisage,OPT-NC 2025,Customer,OPT - NC,Savoir,,2025-09-03 13:38:19,3.0,3.5,,5.0,0.0,1.0,Poorly held,b. 1-25,"Compétence élémentaire, peu ou pas d'expérience","maîtrise des fondamentaux, mobilisation partielle de la compétence","Maîtrise solide et expérimentée, mobilisation opérationnelle de la compétence en situation normale","Expertise sur toutes les composantes de la compétence, mobilisation de la compétence en situation complexe"
OPT - NC,620,21967366,COMP195,"Rédiger un cahier des charges, un programme d'opération, choisir un concepteur",OPT-NC 2025,Customer,OPT - NC,Savoir,,2025-09-03 13:38:09,3.33,3.44,,10.0,0.0,1.0,Poorly held,b. 1-25,"Compétence élémentaire, peu ou pas d'expérience","maîtrise des fondamentaux, mobilisation partielle de la compétence","Maîtrise solide et expérimentée, mobilisation opérationnelle de la compétence en situation normale","Expertise sur toutes les composantes de la compétence, mobilisation de la compétence en situation complexe"
OPT - NC,620,21967433,COMP262,Procédures comptables et budgétaires en vigueur,OPT-NC 2025,Customer,OPT - NC,Savoir,,2025-09-03 13:38:13,2.69,3.5,,22.0,13.0,2.0,Poorly held,b. 1-25,"Compétence élémentaire, peu ou pas d'expérience","maîtrise des fondamentaux, mobilisation partielle de la compétence","Maîtrise solide et expérimentée, mobilisation opérationnelle de la compétence en situation normale","Expertise sur toutes les composantes de la compétence, mobilisation de la compétence en situation complexe"
OPT - NC,620,21967715,COMP544,"Piloter une étude, une recherche",OPT-NC 2025,Customer,OPT - NC,savoir faire,,2025-09-03 13:38:42,3.35,3.5,,21.0,2.0,4.0,Poorly held,b. 1-25,"Compétence élémentaire, peu ou pas d'expérience","maîtrise des fondamentaux, mobilisation partielle de la compétence","Maîtrise solide et expérimentée, mobilisation opérationnelle de la compétence en situation normale","Expertise sur toutes les composantes de la compétence, mobilisation de la compétence en situation complexe"
OPT - NC,620,21967428,COMP257,"Maitrise des progiciels : Plateforme ArcGIS (Pro, Desktop, Entreprise, Online et Mobile), MS 365",OPT-NC 2025,Customer,OPT - NC,Savoir,,2025-09-03 13:38:13,3.29,3.29,,9.0,0.0,1.0,Poorly held,b. 1-25,"Compétence élémentaire, peu ou pas d'expérience","maîtrise des fondamentaux, mobilisation partielle de la compétence","Maîtrise solide et expérimentée, mobilisation opérationnelle de la compétence en situation normale","Expertise sur toutes les composantes de la compétence, mobilisation de la compétence en situation complexe"
OPT - NC,620,21967388,COMP217,Culture de la maitrise des risques,OPT-NC 2025,Customer,OPT - NC,Savoir,,2025-09-03 13:38:10,3.5,3.25,,6.0,0.0,1.0,Poorly held,b. 1-25,"Compétence élémentaire, peu ou pas d'expérience","maîtrise des fondamentaux, mobilisation partielle de la compétence","Maîtrise solide et expérimentée, mobilisation opérationnelle de la compétence en situation normale","Expertise sur toutes les composantes de la compétence, mobilisation de la compétence en situation complexe"
OPT - NC,620,21967631,COMP460,"Animer un réseau, une communauté",OPT-NC 2025,Customer,OPT - NC,savoir faire,,2025-09-03 13:38:32,2.29,2.57,,9.0,2.0,3.0,Poorly held,b. 1-25,"Compétence élémentaire, peu ou pas d'expérience","maîtrise des fondamentaux, mobilisation partielle de la compétence","Maîtrise solide et expérimentée, mobilisation opérationnelle de la compétence en situation normale","Expertise sur toutes les composantes de la compétence, mobilisation de la compétence en situation complexe"
OPT - NC,620,21967527,COMP356,Tests d'évaluation psychologique,OPT-NC 2025,Customer,OPT - NC,Savoir,,2025-09-03 13:38:21,3.0,3.0,,2.0,0.0,1.0,Poorly held,b. 1-25,"Compétence élémentaire, peu ou pas d'expérience","maîtrise des fondamentaux, mobilisation partielle de la compétence","Maîtrise solide et expérimentée, mobilisation opérationnelle de la compétence en situation normale","Expertise sur toutes les composantes de la compétence, mobilisation de la compétence en situation complexe"
OPT - NC,620,21967513,COMP342,Générale de l'ingénierie des lignes et de leurs caractéristiques.,OPT-NC 2025,Customer,OPT - NC,Savoir,,2025-09-03 13:38:20,,4.0,,1.0,0.0,1.0,Poorly held,b. 1-25,"Compétence élémentaire, peu ou pas d'expérience","maîtrise des fondamentaux, mobilisation partielle de la compétence","Maîtrise solide et expérimentée, mobilisation opérationnelle de la compétence en situation normale","Expertise sur toutes les composantes de la compétence, mobilisation de la compétence en situation complexe"
OPT - NC,620,22026256,COMP141,Connaissance des réseaux des télécommunications et IP,OPT-NC 2025,Customer,OPT - NC,Savoir,,2026-02-25 23:38:21,2.98,3.35,,106.0,26.0,2.0,Well held,d. 101+,"Compétence élémentaire, peu ou pas d'expérience","maîtrise des fondamentaux, mobilisation partielle de la compétence","Maîtrise solide et expérimentée, mobilisation opérationnelle de la compétence en situation normale","Expertise sur toutes les composantes de la compétence, mobilisation de la compétence en situation complexe"
OPT - NC,620,21967676,COMP505,"Elaborer une stratégie, une politique",OPT-NC 2025,Customer,OPT - NC,savoir faire,,2025-09-03 13:38:37,2.4,3.0,,10.0,0.0,2.0,Poorly held,b. 1-25,"Compétence élémentaire, peu ou pas d'expérience","maîtrise des fondamentaux, mobilisation partielle de la compétence","Maîtrise solide et expérimentée, mobilisation opérationnelle de la compétence en situation normale","Expertise sur toutes les composantes de la compétence, mobilisation de la compétence en situation complexe"
OPT - NC,620,21967518,COMP347,Réglementation postale et des domaines foncitonnels couverts,OPT-NC 2025,Customer,OPT - NC,Savoir,,2025-09-03 13:38:20,1.8,1.75,,7.0,5.0,1.0,Poorly held,b. 1-25,"Compétence élémentaire, peu ou pas d'expérience","maîtrise des fondamentaux, mobilisation partielle de la compétence","Maîtrise solide et expérimentée, mobilisation opérationnelle de la compétence en situation normale","Expertise sur toutes les composantes de la compétence, mobilisation de la compétence en situation complexe"
OPT - NC,620,21967769,COMP598,Sens des responsabilités,OPT-NC 2025,Customer,OPT - NC,Savoir être,,2025-10-27 00:28:05,3.37,3.37,,407.0,86.0,21.0,Well held,d. 101+,"Compétence élémentaire, peu ou pas d'expérience","maîtrise des fondamentaux, mobilisation partielle de la compétence","Maîtrise solide et expérimentée, mobilisation opérationnelle de la compétence en situation normale","Expertise sur toutes les composantes de la compétence, mobilisation de la compétence en situation complexe"
OPT - NC,620,21967578,COMP407,Connaissance du plan stratégique de l'Office,OPT-NC 2025,Customer,OPT - NC,Savoir,,2026-03-18 06:01:58,2.75,2.6,,13.0,2.0,4.0,Poorly held,b. 1-25,"Compétence élémentaire, peu ou pas d'expérience","maîtrise des fondamentaux, mobilisation partielle de la compétence","Maîtrise solide et expérimentée, mobilisation opérationnelle de la compétence en situation normale","Expertise sur toutes les composantes de la compétence, mobilisation de la compétence en situation complexe"
OPT - NC,620,21967703,COMP532,Mener une veille,OPT-NC 2025,Customer,OPT - NC,savoir faire,,2025-09-03 13:38:40,2.83,3.14,,45.0,8.0,8.0,Moderately held,c. 26-100,"Compétence élémentaire, peu ou pas d'expérience","maîtrise des fondamentaux, mobilisation partielle de la compétence","Maîtrise solide et expérimentée, mobilisation opérationnelle de la compétence en situation normale","Expertise sur toutes les composantes de la compétence, mobilisation de la compétence en situation complexe"
OPT - NC,620,21967552,COMP381,Outils de pilotage opérationnel des activités (tableaux de bord) et de planification de projets.,OPT-NC 2025,Customer,OPT - NC,Savoir,,2025-09-03 13:38:23,3.0,3.5,,2.0,0.0,1.0,Poorly held,b. 1-25,"Compétence élémentaire, peu ou pas d'expérience","maîtrise des fondamentaux, mobilisation partielle de la compétence","Maîtrise solide et expérimentée, mobilisation opérationnelle de la compétence en situation normale","Expertise sur toutes les composantes de la compétence, mobilisation de la compétence en situation complexe"
OPT - NC,620,21967227,COMP56,Connaissance des technologies associées aux réseaux et aux équipements.,OPT-NC 2025,Customer,OPT - NC,Savoir,,2025-09-03 13:38:02,3.33,3.33,,3.0,2.0,1.0,Poorly held,b. 1-25,"Compétence élémentaire, peu ou pas d'expérience","maîtrise des fondamentaux, mobilisation partielle de la compétence","Maîtrise solide et expérimentée, mobilisation opérationnelle de la compétence en situation normale","Expertise sur toutes les composantes de la compétence, mobilisation de la compétence en situation complexe"
OPT - NC,620,21967656,COMP485,Constituer et entretenir un réseau,OPT-NC 2025,Customer,OPT - NC,savoir faire,,2025-09-03 13:38:34,,,,,,,Well held,d. 101+,"Compétence élémentaire, peu ou pas d'expérience","maîtrise des fondamentaux, mobilisation partielle de la compétence","Maîtrise solide et expérimentée, mobilisation opérationnelle de la compétence en situation normale","Expertise sur toutes les composantes de la compétence, mobilisation de la compétence en situation complexe"
OPT - NC,620,21967465,COMP294,Réglementations et normes en matière de sécurité des bâtiments,OPT-NC 2025,Customer,OPT - NC,Savoir,,2025-09-03 13:38:16,2.33,2.67,,8.0,3.0,1.0,Poorly held,b. 1-25,"Compétence élémentaire, peu ou pas d'expérience","maîtrise des fondamentaux, mobilisation partielle de la compétence","Maîtrise solide et expérimentée, mobilisation opérationnelle de la compétence en situation normale","Expertise sur toutes les composantes de la compétence, mobilisation de la compétence en situation complexe"
OPT - NC,620,22020767,COMP614,Connaissance des logiciels de dessins assistés par ordinateur (DAO et CAO) et base de données SIG,OPT-NC 2025,Customer,OPT - NC,Savoir,,2026-02-04 22:15:40,2.88,3.38,,17.0,5.0,1.0,Poorly held,b. 1-25,"Compétence élémentaire, peu ou pas d'expérience","maîtrise des fondamentaux, mobilisation partielle de la compétence","Maîtrise solide et expérimentée, mobilisation opérationnelle de la compétence en situation normale","Expertise sur toutes les composantes de la compétence, mobilisation de la compétence en situation complexe"
OPT - NC,620,21967586,COMP415,Ressources humaines,OPT-NC 2025,Customer,OPT - NC,Savoir,,2025-10-23 07:34:15,2.75,4.0,,4.0,2.0,1.0,Poorly held,b. 1-25,"Compétence élémentaire, peu ou pas d'expérience","maîtrise des fondamentaux, mobilisation partielle de la compétence","Maîtrise solide et expérimentée, mobilisation opérationnelle de la compétence en situation normale","Expertise sur toutes les composantes de la compétence, mobilisation de la compétence en situation complexe"
OPT - NC,620,21967219,COMP48,Maitriser les outils de monitoring,OPT-NC 2025,Customer,OPT - NC,Savoir,,2025-09-03 13:38:02,3.67,3.3,,10.0,3.0,1.0,Poorly held,b. 1-25,"Compétence élémentaire, peu ou pas d'expérience","maîtrise des fondamentaux, mobilisation partielle de la compétence","Maîtrise solide et expérimentée, mobilisation opérationnelle de la compétence en situation normale","Expertise sur toutes les composantes de la compétence, mobilisation de la compétence en situation complexe"
OPT - NC,620,21967429,COMP258,Maitrise de Python,OPT-NC 2025,Customer,OPT - NC,Savoir,,2025-09-03 13:38:13,2.0,2.29,,9.0,5.0,1.0,Poorly held,b. 1-25,"Compétence élémentaire, peu ou pas d'expérience","maîtrise des fondamentaux, mobilisation partielle de la compétence","Maîtrise solide et expérimentée, mobilisation opérationnelle de la compétence en situation normale","Expertise sur toutes les composantes de la compétence, mobilisation de la compétence en situation complexe"
OPT - NC,620,21967176,COMP5,"Méthodes d'ingénierie logicielles et de gestion de projets,",OPT-NC 2025,Customer,OPT - NC,Savoir,,2025-09-03 13:38:01,2.67,2.5,,14.0,1.0,1.0,Poorly held,b. 1-25,"Compétence élémentaire, peu ou pas d'expérience","maîtrise des fondamentaux, mobilisation partielle de la compétence","Maîtrise solide et expérimentée, mobilisation opérationnelle de la compétence en situation normale","Expertise sur toutes les composantes de la compétence, mobilisation de la compétence en situation complexe"
OPT - NC,620,21967312,COMP141,Connaissance des outils et des méthodes d'approvisionnement et de tenue de planning,OPT-NC 2025,Customer,OPT - NC,Savoir,,2026-02-26 00:28:02,2.73,3.13,,17.0,1.0,1.0,Poorly held,b. 1-25,"Compétence élémentaire, peu ou pas d'expérience","maîtrise des fondamentaux, mobilisation partielle de la compétence","Maîtrise solide et expérimentée, mobilisation opérationnelle de la compétence en situation normale","Expertise sur toutes les composantes de la compétence, mobilisation de la compétence en situation complexe"
OPT - NC,620,21967302,COMP131,Connaissance de la culture marketing,OPT-NC 2025,Customer,OPT - NC,Savoir,,2026-02-04 01:30:42,3.0,3.67,,6.0,0.0,1.0,Poorly held,b. 1-25,"Compétence élémentaire, peu ou pas d'expérience","maîtrise des fondamentaux, mobilisation partielle de la compétence","Maîtrise solide et expérimentée, mobilisation opérationnelle de la compétence en situation normale","Expertise sur toutes les composantes de la compétence, mobilisation de la compétence en situation complexe"
OPT - NC,620,21967633,COMP462,Animer une réunion,OPT-NC 2025,Customer,OPT - NC,savoir faire,,2025-09-03 13:38:32,2.91,2.87,,214.0,27.0,21.0,Well held,d. 101+,"Compétence élémentaire, peu ou pas d'expérience","maîtrise des fondamentaux, mobilisation partielle de la compétence","Maîtrise solide et expérimentée, mobilisation opérationnelle de la compétence en situation normale","Expertise sur toutes les composantes de la compétence, mobilisation de la compétence en situation complexe"
OPT - NC,620,21967274,COMP103,Règles et normes en matière de transition énergétique,OPT-NC 2025,Customer,OPT - NC,Savoir,,2025-09-03 13:38:04,2.0,3.0,,2.0,0.0,1.0,Poorly held,b. 1-25,"Compétence élémentaire, peu ou pas d'expérience","maîtrise des fondamentaux, mobilisation partielle de la compétence","Maîtrise solide et expérimentée, mobilisation opérationnelle de la compétence en situation normale","Expertise sur toutes les composantes de la compétence, mobilisation de la compétence en situation complexe"
OPT - NC,620,21967748,COMP577,Esprit de synthèse,OPT-NC 2025,Customer,OPT - NC,Savoir être,,2025-09-03 13:38:46,3.24,3.32,,359.0,22.0,37.0,Well held,d. 101+,"Compétence élémentaire, peu ou pas d'expérience","maîtrise des fondamentaux, mobilisation partielle de la compétence","Maîtrise solide et expérimentée, mobilisation opérationnelle de la compétence en situation normale","Expertise sur toutes les composantes de la compétence, mobilisation de la compétence en situation complexe"
OPT - NC,620,21967747,COMP576,Curiosité intellectuelle,OPT-NC 2025,Customer,OPT - NC,Savoir être,,2025-09-03 13:38:46,3.48,3.66,,117.0,3.0,16.0,Well held,d. 101+,"Compétence élémentaire, peu ou pas d'expérience","maîtrise des fondamentaux, mobilisation partielle de la compétence","Maîtrise solide et expérimentée, mobilisation opérationnelle de la compétence en situation normale","Expertise sur toutes les composantes de la compétence, mobilisation de la compétence en situation complexe"
OPT - NC,620,21967648,COMP477,"Concevoir un projet, une démarche",OPT-NC 2025,Customer,OPT - NC,savoir faire,,2025-09-03 13:38:33,2.92,3.41,,65.0,8.0,8.0,Moderately held,c. 26-100,"Compétence élémentaire, peu ou pas d'expérience","maîtrise des fondamentaux, mobilisation partielle de la compétence","Maîtrise solide et expérimentée, mobilisation opérationnelle de la compétence en situation normale","Expertise sur toutes les composantes de la compétence, mobilisation de la compétence en situation complexe"
